(80 / 47)*x^0 + (-76 / 1)*x^1 + (-91 / 1)*x^2  := (-0.856990855177487, 0.021826020012651784)
(-89 / 21)*x^0 + (56 / 1)*x^1 + (-58 / 81)*x^2 + (1 / 1)*x^3 + (82 / 1)*x^4 + (55 / 32)*x^5 + (78 / 1)*x^6 + (57 / 1)*x^7 + (39 / 35)*x^8 + (56 / 1)*x^9 + (19 / 45)*x^10 + (44 / 25)*x^11 + (-28 / 1)*x^12 + (-52 / 1)*x^13 + (49 / 85)*x^14 + (-86 / 31)*x^15  := []
(-74 / 1)*x^0  := Degree of the polynomial == 0, thus no roots.
(30 / 1)*x^0 + (-41 / 1)*x^1 + (-94 / 1)*x^2 + (-11 / 1)*x^3 + (93 / 1)*x^4 + (-13 / 1)*x^5 + (-54 / 1)*x^6 + (-12 / 1)*x^7 + (-78 / 1)*x^8 + (23 / 1)*x^9 + (21 / 1)*x^10 + (-73 / 1)*x^11 + (-92 / 1)*x^12  := []
(45 / 1)*x^0 + (-65 / 96)*x^1 + (-11 / 31)*x^2 + (3 / 32)*x^3 + (-24 / 1)*x^4 + (-48 / 1)*x^5 + (-47 / 53)*x^6 + (50 / 11)*x^7 + (-28 / 25)*x^8 + (-30 / 1)*x^9 + (-84 / 1)*x^10 + (20 / 33)*x^11 + (0 / 1)*x^12 + (25 / 21)*x^13 + (-17 / 1)*x^14  := []
(-79 / 1)*x^0 + (74 / 1)*x^1 + (26 / 1)*x^2 + (-31 / 46)*x^3 + (-97 / 46)*x^4 + (-19 / 27)*x^5 + (-70 / 1)*x^6 + (68 / 19)*x^7  := []
(14 / 1)*x^0 + (-97 / 31)*x^1 + (-21 / 1)*x^2 + (37 / 10)*x^3 + (-80 / 17)*x^4  := []
(-32 / 1)*x^0 + (48 / 1)*x^1 + (76 / 1)*x^2 + (17 / 1)*x^3 + (-21 / 1)*x^4 + (-34 / 1)*x^5 + (1 / 3)*x^6 + (-13 / 1)*x^7 + (-49 / 15)*x^8 + (-65 / 1)*x^9 + (68 / 63)*x^10 + (64 / 1)*x^11 + (-38 / 1)*x^12 + (56 / 37)*x^13  := []
(75 / 73)*x^0 + (-71 / 1)*x^1 + (-28 / 1)*x^2 + (14 / 13)*x^3 + (-56 / 1)*x^4 + (-31 / 3)*x^5 + (39 / 1)*x^6 + (11 / 13)*x^7 + (50 / 1)*x^8  := []
(-31 / 54)*x^0 + (-44 / 15)*x^1  := -155 / 792
(-88 / 1)*x^0 + (-34 / 1)*x^1 + (-64 / 1)*x^2 + (80 / 1)*x^3  := []
(69 / 1)*x^0 + (-16 / 47)*x^1 + (-93 / 73)*x^2 + (-12 / 1)*x^3 + (28 / 1)*x^4 + (49 / 1)*x^5 + (4 / 19)*x^6 + (5 / 1)*x^7 + (-9 / 1)*x^8 + (43 / 49)*x^9 + (-25 / 1)*x^10 + (-12 / 1)*x^11 + (19 / 21)*x^12 + (-57 / 1)*x^13 + (-46 / 1)*x^14 + (31 / 34)*x^15 + (-8 / 1)*x^16 + (22 / 1)*x^17 + (-24 / 49)*x^18  := []
(71 / 72)*x^0 + (2 / 1)*x^1 + (11 / 7)*x^2 + (92 / 61)*x^3 + (-59 / 62)*x^4 + (-52 / 1)*x^5 + (64 / 1)*x^6 + (19 / 1)*x^7 + (-3 / 10)*x^8 + (58 / 1)*x^9 + (-68 / 53)*x^10  := []
(-28 / 1)*x^0 + (-17 / 1)*x^1 + (48 / 1)*x^2 + (15 / 29)*x^3 + (-31 / 1)*x^4 + (4 / 1)*x^5 + (-100 / 79)*x^6 + (15 / 1)*x^7 + (40 / 1)*x^8 + (-48 / 1)*x^9 + (-71 / 59)*x^10  := []
(4 / 3)*x^0 + (61 / 1)*x^1 + (-21 / 32)*x^2 + (3 / 7)*x^3 + (-1 / 1)*x^4 + (-31 / 1)*x^5 + (-3 / 1)*x^6 + (-17 / 1)*x^7 + (-74 / 1)*x^8 + (67 / 10)*x^9 + (-40 / 81)*x^10 + (-2 / 1)*x^11 + (1 / 1)*x^12 + (-77 / 54)*x^13 + (-99 / 1)*x^14 + (34 / 1)*x^15 + (-35 / 36)*x^16 + (64 / 1)*x^17  := []
(7 / 1)*x^0 + (-71 / 1)*x^1 + (89 / 1)*x^2 + (35 / 1)*x^3 + (83 / 1)*x^4 + (89 / 1)*x^5 + (60 / 1)*x^6  := []
(5 / 1)*x^0 + (17 / 7)*x^1 + (19 / 1)*x^2 + (28 / 1)*x^3  := []
(50 / 1)*x^0 + (-39 / 1)*x^1 + (-62 / 1)*x^2 + (3 / 1)*x^3 + (98 / 89)*x^4 + (-11 / 1)*x^5 + (90 / 1)*x^6 + (19 / 3)*x^7 + (96 / 83)*x^8 + (0 / 1)*x^9 + (-39 / 23)*x^10  := []
(89 / 30)*x^0 + (-67 / 64)*x^1 + (-79 / 71)*x^2 + (-66 / 1)*x^3 + (12 / 17)*x^4 + (6 / 1)*x^5 + (1 / 6)*x^6 + (-57 / 1)*x^7 + (-63 / 1)*x^8 + (30 / 1)*x^9 + (3 / 10)*x^10 + (-67 / 1)*x^11  := []
(97 / 1)*x^0  := Degree of the polynomial == 0, thus no roots.
(-76 / 1)*x^0 + (59 / 76)*x^1 + (56 / 1)*x^2 + (-1 / 6)*x^3 + (-12 / 1)*x^4 + (-40 / 1)*x^5 + (89 / 42)*x^6 + (-13 / 3)*x^7  := []
(-52 / 77)*x^0 + (92 / 1)*x^1 + (15 / 14)*x^2  := (0.007339858192368828, -85.87400652485903)
(15 / 1)*x^0 + (1 / 8)*x^1 + (78 / 1)*x^2  := ((-0.0008012820512820244+0.4385282775999361j), (-0.0008012820512820781-0.4385282775999361j))
(56 / 47)*x^0 + (-3 / 1)*x^1 + (-32 / 1)*x^2 + (-22 / 1)*x^3  := []
(62 / 1)*x^0 + (-24 / 23)*x^1 + (-98 / 1)*x^2 + (5 / 7)*x^3 + (8 / 7)*x^4 + (-15 / 77)*x^5  := []
(-16 / 1)*x^0 + (74 / 1)*x^1 + (-90 / 1)*x^2 + (94 / 1)*x^3  := []
(-37 / 42)*x^0 + (75 / 1)*x^1 + (15 / 7)*x^2 + (-10 / 1)*x^3 + (21 / 1)*x^4 + (-19 / 5)*x^5 + (-22 / 1)*x^6 + (-21 / 23)*x^7 + (9 / 47)*x^8 + (1 / 6)*x^9  := []
(-46 / 1)*x^0 + (1 / 1)*x^1 + (17 / 43)*x^2 + (70 / 1)*x^3 + (-98 / 1)*x^4 + (-1 / 1)*x^5 + (53 / 1)*x^6 + (4 / 1)*x^7 + (48 / 1)*x^8 + (-3 / 1)*x^9 + (-65 / 1)*x^10 + (79 / 1)*x^11 + (70 / 1)*x^12 + (26 / 29)*x^13 + (-7 / 10)*x^14  := []
(13 / 1)*x^0 + (84 / 1)*x^1 + (-49 / 52)*x^2  := (-0.15449414979995385, 89.2973512926571)
(-25 / 48)*x^0 + (-70 / 99)*x^1 + (-60 / 41)*x^2 + (74 / 1)*x^3 + (21 / 83)*x^4 + (-79 / 62)*x^5 + (-55 / 38)*x^6 + (65 / 28)*x^7 + (39 / 34)*x^8 + (-34 / 1)*x^9 + (13 / 48)*x^10 + (81 / 1)*x^11 + (-8 / 1)*x^12 + (-83 / 55)*x^13 + (59 / 82)*x^14 + (28 / 1)*x^15 + (-76 / 1)*x^16 + (-98 / 1)*x^17  := []
(86 / 1)*x^0 + (-10 / 1)*x^1 + (52 / 1)*x^2 + (-10 / 1)*x^3 + (99 / 1)*x^4 + (88 / 1)*x^5 + (-59 / 1)*x^6 + (-12 / 1)*x^7 + (93 / 1)*x^8 + (-34 / 1)*x^9 + (-54 / 1)*x^10 + (61 / 1)*x^11 + (11 / 1)*x^12 + (9 / 1)*x^13 + (9 / 1)*x^14 + (-50 / 1)*x^15 + (-59 / 1)*x^16 + (-15 / 1)*x^17 + (-71 / 1)*x^18  := []
(91 / 8)*x^0 + (-35 / 12)*x^1 + (25 / 31)*x^2 + (62 / 43)*x^3 + (25 / 12)*x^4  := []
(-89 / 1)*x^0 + (-25 / 1)*x^1 + (-49 / 75)*x^2 + (13 / 21)*x^3 + (13 / 1)*x^4 + (66 / 1)*x^5 + (93 / 89)*x^6 + (63 / 1)*x^7  := []
(-59 / 1)*x^0 + (65 / 21)*x^1 + (3 / 1)*x^2 + (-83 / 1)*x^3 + (75 / 1)*x^4 + (-29 / 4)*x^5 + (-3 / 25)*x^6 + (-47 / 53)*x^7 + (10 / 49)*x^8 + (99 / 1)*x^9 + (22 / 1)*x^10 + (41 / 1)*x^11 + (61 / 1)*x^12 + (1 / 28)*x^13 + (3 / 4)*x^14 + (74 / 1)*x^15  := []
(-13 / 14)*x^0 + (77 / 1)*x^1 + (30 / 67)*x^2 + (21 / 1)*x^3 + (65 / 16)*x^4 + (-79 / 1)*x^5 + (-7 / 11)*x^6 + (-58 / 1)*x^7 + (-17 / 1)*x^8  := []
(17 / 53)*x^0 + (-25 / 1)*x^1 + (1 / 11)*x^2 + (-100 / 1)*x^3 + (18 / 1)*x^4 + (-5 / 7)*x^5 + (49 / 1)*x^6 + (5 / 77)*x^7 + (33 / 1)*x^8 + (100 / 1)*x^9 + (98 / 1)*x^10 + (-69 / 26)*x^11 + (59 / 1)*x^12 + (-21 / 1)*x^13 + (-7 / 16)*x^14  := []
(81 / 1)*x^0 + (54 / 1)*x^1 + (68 / 55)*x^2 + (-31 / 38)*x^3 + (21 / 17)*x^4 + (96 / 1)*x^5 + (-83 / 62)*x^6 + (37 / 1)*x^7 + (59 / 1)*x^8 + (-57 / 1)*x^9 + (-20 / 1)*x^10 + (1 / 9)*x^11 + (74 / 1)*x^12 + (32 / 1)*x^13 + (38 / 1)*x^14 + (63 / 1)*x^15  := []
(-17 / 23)*x^0 + (-36 / 1)*x^1 + (29 / 28)*x^2 + (4 / 7)*x^3 + (-61 / 1)*x^4 + (11 / 16)*x^5 + (24 / 13)*x^6  := []
(2 / 3)*x^0 + (-87 / 2)*x^1  := 4 / 261
(95 / 84)*x^0 + (-87 / 1)*x^1 + (15 / 1)*x^2 + (-57 / 10)*x^3 + (-89 / 18)*x^4 + (89 / 1)*x^5 + (95 / 1)*x^6 + (25 / 18)*x^7 + (91 / 53)*x^8 + (43 / 41)*x^9 + (87 / 1)*x^10 + (32 / 1)*x^11  := []
(22 / 9)*x^0 + (29 / 13)*x^1 + (98 / 1)*x^2 + (82 / 1)*x^3 + (-37 / 1)*x^4 + (-98 / 1)*x^5 + (60 / 1)*x^6 + (-70 / 99)*x^7 + (-23 / 1)*x^8 + (3 / 2)*x^9 + (-58 / 1)*x^10 + (2 / 5)*x^11 + (11 / 6)*x^12 + (83 / 1)*x^13 + (-37 / 1)*x^14  := []
(1 / 3)*x^0 + (-2 / 1)*x^1 + (-70 / 1)*x^2 + (-19 / 8)*x^3 + (-9 / 4)*x^4 + (-43 / 1)*x^5 + (26 / 1)*x^6 + (88 / 1)*x^7 + (-56 / 1)*x^8 + (-70 / 39)*x^9 + (37 / 91)*x^10 + (-93 / 35)*x^11 + (5 / 9)*x^12 + (-30 / 1)*x^13 + (47 / 1)*x^14 + (-64 / 33)*x^15  := []
(28 / 13)*x^0 + (-24 / 7)*x^1 + (-17 / 33)*x^2 + (59 / 1)*x^3 + (-86 / 1)*x^4 + (90 / 1)*x^5 + (-20 / 29)*x^6 + (-40 / 1)*x^7 + (-13 / 28)*x^8 + (93 / 1)*x^9 + (-4 / 7)*x^10 + (-25 / 76)*x^11 + (-37 / 41)*x^12 + (-87 / 16)*x^13 + (30 / 79)*x^14  := []
(55 / 1)*x^0 + (-45 / 17)*x^1 + (0 / 1)*x^2  := 187 / 9
(-49 / 1)*x^0 + (81 / 1)*x^1 + (72 / 7)*x^2 + (-20 / 1)*x^3 + (-55 / 28)*x^4 + (16 / 31)*x^5 + (43 / 1)*x^6  := []
(58 / 21)*x^0 + (-56 / 1)*x^1 + (-24 / 23)*x^2 + (18 / 1)*x^3 + (59 / 91)*x^4 + (59 / 1)*x^5 + (13 / 22)*x^6 + (-18 / 17)*x^7 + (-80 / 1)*x^8 + (57 / 1)*x^9 + (-76 / 1)*x^10 + (68 / 7)*x^11 + (-19 / 30)*x^12 + (-33 / 1)*x^13 + (-58 / 1)*x^14 + (28 / 1)*x^15 + (24 / 1)*x^16  := []
(33 / 1)*x^0 + (58 / 1)*x^1 + (20 / 1)*x^2 + (-67 / 1)*x^3 + (-97 / 1)*x^4 + (-20 / 1)*x^5 + (99 / 1)*x^6 + (-5 / 1)*x^7 + (95 / 1)*x^8 + (83 / 1)*x^9 + (-56 / 1)*x^10  := []
(71 / 1)*x^0 + (69 / 1)*x^1 + (37 / 1)*x^2 + (15 / 31)*x^3 + (41 / 9)*x^4 + (2 / 1)*x^5 + (-82 / 63)*x^6 + (8 / 3)*x^7 + (83 / 1)*x^8 + (70 / 1)*x^9 + (-85 / 72)*x^10 + (-47 / 1)*x^11 + (77 / 1)*x^12 + (93 / 1)*x^13 + (-49 / 1)*x^14  := []
(94 / 1)*x^0 + (31 / 47)*x^1 + (44 / 37)*x^2 + (-16 / 3)*x^3 + (-82 / 85)*x^4 + (19 / 1)*x^5 + (92 / 1)*x^6 + (41 / 84)*x^7 + (33 / 1)*x^8 + (25 / 19)*x^9 + (21 / 1)*x^10 + (29 / 41)*x^11 + (-81 / 1)*x^12 + (7 / 1)*x^13 + (51 / 53)*x^14 + (-15 / 1)*x^15 + (35 / 1)*x^16 + (-18 / 7)*x^17 + (19 / 36)*x^18 + (8 / 1)*x^19  := []
(-95 / 1)*x^0 + (78 / 1)*x^1 + (-34 / 1)*x^2 + (0 / 1)*x^3 + (-56 / 1)*x^4 + (28 / 1)*x^5 + (-17 / 1)*x^6 + (-61 / 1)*x^7 + (-78 / 1)*x^8 + (85 / 1)*x^9 + (37 / 1)*x^10 + (24 / 1)*x^11 + (99 / 1)*x^12 + (75 / 1)*x^13  := []
(19 / 1)*x^0 + (7 / 1)*x^1 + (-95 / 1)*x^2  := (-0.411886477200921, 0.4855706877272367)
(-52 / 1)*x^0 + (-2 / 1)*x^1 + (-15 / 11)*x^2 + (63 / 1)*x^3 + (-74 / 43)*x^4 + (-67 / 1)*x^5 + (40 / 1)*x^6 + (47 / 1)*x^7 + (-44 / 1)*x^8 + (89 / 71)*x^9 + (71 / 1)*x^10 + (2 / 29)*x^11 + (-60 / 23)*x^12 + (71 / 8)*x^13 + (-5 / 19)*x^14 + (26 / 77)*x^15 + (-2 / 7)*x^16  := []
(98 / 1)*x^0 + (-14 / 1)*x^1 + (80 / 33)*x^2 + (-84 / 1)*x^3 + (-9 / 1)*x^4 + (78 / 59)*x^5 + (35 / 1)*x^6  := []
(-22 / 1)*x^0 + (-79 / 18)*x^1 + (-43 / 26)*x^2 + (94 / 1)*x^3 + (32 / 1)*x^4 + (5 / 93)*x^5 + (-1 / 9)*x^6 + (-76 / 1)*x^7 + (27 / 29)*x^8 + (10 / 1)*x^9 + (-17 / 14)*x^10 + (20 / 1)*x^11 + (-99 / 1)*x^12 + (-9 / 95)*x^13 + (61 / 1)*x^14 + (94 / 1)*x^15 + (97 / 1)*x^16 + (69 / 1)*x^17 + (59 / 1)*x^18  := []
(-7 / 1)*x^0 + (61 / 59)*x^1 + (23 / 3)*x^2 + (39 / 35)*x^3 + (1 / 1)*x^4 + (-70 / 1)*x^5 + (-46 / 1)*x^6 + (-54 / 17)*x^7 + (-1 / 7)*x^8 + (-41 / 1)*x^9 + (-40 / 1)*x^10 + (59 / 68)*x^11 + (-41 / 1)*x^12 + (-60 / 1)*x^13 + (-37 / 1)*x^14  := []
(25 / 1)*x^0 + (-16 / 1)*x^1 + (16 / 27)*x^2 + (-95 / 1)*x^3 + (40 / 1)*x^4 + (-52 / 1)*x^5 + (-2 / 1)*x^6 + (-4 / 7)*x^7 + (-47 / 1)*x^8 + (-56 / 1)*x^9  := []
(30 / 1)*x^0 + (62 / 1)*x^1 + (73 / 1)*x^2 + (-24 / 61)*x^3 + (-64 / 1)*x^4 + (9 / 17)*x^5 + (-24 / 1)*x^6  := []
(-97 / 10)*x^0 + (-19 / 1)*x^1 + (-81 / 49)*x^2 + (73 / 77)*x^3  := []
(-76 / 1)*x^0 + (58 / 1)*x^1 + (-95 / 1)*x^2 + (37 / 1)*x^3 + (86 / 1)*x^4 + (-29 / 1)*x^5 + (98 / 1)*x^6 + (-48 / 1)*x^7 + (15 / 28)*x^8 + (13 / 14)*x^9 + (-46 / 39)*x^10 + (-79 / 48)*x^11 + (-41 / 68)*x^12 + (-32 / 1)*x^13 + (-83 / 99)*x^14 + (-85 / 1)*x^15 + (-29 / 46)*x^16 + (-3 / 17)*x^17 + (37 / 39)*x^18 + (33 / 1)*x^19  := []
(32 / 1)*x^0 + (86 / 1)*x^1 + (12 / 1)*x^2 + (-66 / 1)*x^3 + (66 / 1)*x^4 + (-41 / 1)*x^5 + (-52 / 1)*x^6 + (-51 / 1)*x^7 + (77 / 1)*x^8 + (66 / 1)*x^9 + (-35 / 1)*x^10 + (-99 / 1)*x^11 + (-95 / 1)*x^12 + (-74 / 1)*x^13 + (47 / 1)*x^14  := []
(-76 / 1)*x^0 + (84 / 1)*x^1  := 19 / 21
(6 / 7)*x^0 + (75 / 82)*x^1 + (22 / 1)*x^2 + (32 / 1)*x^3 + (66 / 1)*x^4 + (-9 / 4)*x^5 + (1 / 1)*x^6 + (11 / 4)*x^7 + (12 / 31)*x^8 + (37 / 48)*x^9 + (-14 / 17)*x^10 + (1 / 4)*x^11 + (4 / 5)*x^12 + (-55 / 1)*x^13  := []
(-29 / 1)*x^0  := Degree of the polynomial == 0, thus no roots.
(-92 / 1)*x^0 + (39 / 22)*x^1  := 2024 / 39
(55 / 1)*x^0 + (-34 / 1)*x^1 + (31 / 1)*x^2 + (0 / 1)*x^3 + (-47 / 1)*x^4 + (-20 / 1)*x^5 + (-59 / 1)*x^6 + (-44 / 81)*x^7 + (-57 / 82)*x^8 + (21 / 31)*x^9 + (39 / 1)*x^10  := []
(12 / 17)*x^0 + (-10 / 79)*x^1 + (4 / 1)*x^2 + (-87 / 52)*x^3 + (36 / 1)*x^4 + (45 / 44)*x^5 + (11 / 75)*x^6 + (52 / 1)*x^7 + (75 / 1)*x^8 + (-76 / 1)*x^9 + (17 / 46)*x^10 + (46 / 1)*x^11  := []
(60 / 1)*x^0 + (94 / 1)*x^1 + (71 / 91)*x^2 + (-44 / 45)*x^3 + (-4 / 7)*x^4 + (-80 / 1)*x^5 + (-64 / 1)*x^6 + (-68 / 69)*x^7 + (49 / 95)*x^8 + (-95 / 1)*x^9 + (-75 / 86)*x^10 + (-16 / 23)*x^11 + (57 / 1)*x^12 + (34 / 15)*x^13 + (7 / 38)*x^14 + (-32 / 43)*x^15 + (-14 / 1)*x^16 + (52 / 1)*x^17 + (3 / 5)*x^18  := []
(-61 / 10)*x^0 + (-38 / 1)*x^1 + (-29 / 15)*x^2 + (-23 / 1)*x^3 + (58 / 1)*x^4 + (12 / 7)*x^5 + (-38 / 1)*x^6 + (82 / 1)*x^7 + (18 / 1)*x^8 + (92 / 11)*x^9 + (-56 / 1)*x^10 + (95 / 1)*x^11 + (24 / 1)*x^12 + (-7 / 12)*x^13 + (23 / 9)*x^14 + (48 / 1)*x^15 + (-87 / 1)*x^16 + (31 / 1)*x^17 + (63 / 17)*x^18  := []
(80 / 1)*x^0 + (-2 / 1)*x^1 + (-17 / 1)*x^2 + (-63 / 1)*x^3 + (-18 / 37)*x^4 + (15 / 88)*x^5 + (27 / 67)*x^6 + (76 / 89)*x^7 + (28 / 23)*x^8 + (-48 / 7)*x^9 + (4 / 25)*x^10  := []
(-2 / 1)*x^0 + (-15 / 1)*x^1 + (83 / 88)*x^2 + (23 / 20)*x^3 + (-86 / 1)*x^4 + (-86 / 1)*x^5 + (68 / 1)*x^6  := []
(53 / 1)*x^0  := Degree of the polynomial == 0, thus no roots.
(94 / 1)*x^0 + (8 / 3)*x^1 + (-63 / 1)*x^2 + (74 / 43)*x^3 + (66 / 1)*x^4 + (24 / 41)*x^5 + (-31 / 24)*x^6 + (79 / 1)*x^7 + (-78 / 71)*x^8 + (-28 / 27)*x^9 + (79 / 1)*x^10 + (16 / 1)*x^11 + (82 / 75)*x^12 + (-43 / 1)*x^13 + (6 / 1)*x^14 + (1 / 1)*x^15 + (85 / 1)*x^16 + (-99 / 1)*x^17 + (-27 / 1)*x^18 + (-94 / 1)*x^19  := []
(70 / 19)*x^0 + (22 / 1)*x^1 + (31 / 6)*x^2 + (86 / 77)*x^3 + (95 / 23)*x^4 + (-53 / 1)*x^5 + (19 / 28)*x^6 + (1 / 3)*x^7 + (1 / 48)*x^8 + (-23 / 1)*x^9 + (56 / 39)*x^10 + (-52 / 77)*x^11 + (-86 / 1)*x^12 + (49 / 1)*x^13 + (-77 / 26)*x^14 + (24 / 1)*x^15 + (94 / 1)*x^16  := []
(64 / 1)*x^0 + (94 / 7)*x^1  := -224 / 47
(91 / 1)*x^0 + (12 / 43)*x^1 + (1 / 2)*x^2  := ((-0.27906976744185963+13.487850831948727j), (-0.2790697674418613-13.487850831948727j))
(-94 / 1)*x^0 + (-46 / 1)*x^1 + (91 / 1)*x^2 + (-18 / 41)*x^3  := []
(-13 / 1)*x^0 + (-2 / 1)*x^1 + (-2 / 7)*x^2  := ((-3.5-5.766281297335398j), (-3.5+5.766281297335398j))
(78 / 35)*x^0 + (-13 / 50)*x^1 + (45 / 1)*x^2 + (37 / 69)*x^3 + (40 / 13)*x^4 + (-79 / 14)*x^5 + (50 / 41)*x^6 + (-27 / 1)*x^7 + (-22 / 1)*x^8 + (92 / 1)*x^9  := []
(7 / 2)*x^0 + (-5 / 1)*x^1 + (91 / 1)*x^2 + (-79 / 36)*x^3 + (-50 / 1)*x^4 + (64 / 1)*x^5 + (-39 / 4)*x^6 + (-74 / 1)*x^7 + (57 / 1)*x^8 + (22 / 5)*x^9 + (-22 / 49)*x^10 + (25 / 22)*x^11 + (50 / 29)*x^12 + (-35 / 11)*x^13 + (-29 / 1)*x^14 + (-78 / 61)*x^15 + (26 / 1)*x^16 + (12 / 13)*x^17  := []
(-80 / 1)*x^0 + (71 / 1)*x^1 + (3 / 8)*x^2 + (-27 / 1)*x^3 + (27 / 10)*x^4 + (-72 / 1)*x^5  := []
(-57 / 1)*x^0 + (46 / 1)*x^1 + (-97 / 1)*x^2 + (-77 / 1)*x^3 + (75 / 1)*x^4 + (-95 / 1)*x^5 + (-98 / 1)*x^6 + (-48 / 1)*x^7 + (-26 / 1)*x^8 + (76 / 1)*x^9 + (43 / 1)*x^10 + (42 / 1)*x^11 + (-26 / 1)*x^12 + (-52 / 1)*x^13 + (-36 / 1)*x^14  := []
(-3 / 1)*x^0 + (-97 / 93)*x^1 + (-79 / 1)*x^2 + (35 / 62)*x^3 + (-11 / 7)*x^4 + (-46 / 1)*x^5 + (88 / 1)*x^6  := []
(-65 / 22)*x^0 + (-85 / 1)*x^1 + (34 / 1)*x^2 + (41 / 49)*x^3 + (33 / 1)*x^4  := []
(-42 / 1)*x^0 + (33 / 46)*x^1 + (-14 / 29)*x^2 + (-63 / 34)*x^3 + (-26 / 29)*x^4 + (-36 / 1)*x^5 + (-5 / 9)*x^6 + (-19 / 13)*x^7 + (-37 / 20)*x^8 + (-45 / 1)*x^9 + (-82 / 1)*x^10 + (-1 / 1)*x^11 + (-1 / 2)*x^12 + (-21 / 43)*x^13 + (-17 / 91)*x^14 + (-10 / 1)*x^15 + (86 / 1)*x^16 + (-7 / 1)*x^17  := []
(-37 / 1)*x^0 + (-17 / 1)*x^1 + (-27 / 28)*x^2 + (45 / 62)*x^3 + (97 / 1)*x^4 + (-16 / 1)*x^5 + (-87 / 1)*x^6 + (49 / 5)*x^7  := []
(92 / 1)*x^0 + (-53 / 1)*x^1 + (3 / 4)*x^2 + (56 / 47)*x^3 + (-17 / 22)*x^4 + (-62 / 1)*x^5 + (-1 / 50)*x^6 + (-47 / 48)*x^7 + (-14 / 11)*x^8 + (79 / 1)*x^9 + (-1 / 1)*x^10 + (-15 / 1)*x^11 + (-80 / 1)*x^12 + (-89 / 17)*x^13 + (7 / 44)*x^14 + (14 / 19)*x^15 + (-99 / 100)*x^16  := []
